name;id;popularity;embedding
Duki;1bAftSH8umNcGZ0uyV7LMg;84;"[ 0.03220015 -0.00695139  0.23882002  0.22678138  0.20282418  0.09258629
  0.61347014  0.2258728   0.11152624 -0.2310456   0.05482551 -0.20065425
 -0.01633503 -0.32321534 -0.18913709 -0.05394874]"
Elton John;3PhoLpVuITZKcymswpck5b;84;"[-0.7553137   1.5461464  -1.8585683  -3.676353   -1.564485    2.2086325
 -4.5997863   1.4192356   0.6753671  -0.2992432  -0.49467272  3.1848404
  0.36241105  2.8278809   3.3297222   0.43180966]"
Farruko;329e4yvIujISKGKz1BZZbO;84;"[-0.60491115 -0.45629138  4.181743   -1.8713115  -1.9614493  -0.85213804
  4.7504926   1.6794583   0.00742952  3.4014356   2.056925   -1.5487171
  2.4843545  -2.480824   -3.4379425   3.2347062 ]"
Gunna;2hlmm7s2ICUX0LVIhVFlZQ;84;"[-5.4885864e-01 -3.1846118e-01  2.6605913e-04  7.8203790e-02
 -5.4886688e-02 -6.3492060e-01  6.3357770e-01  7.4771708e-01
  6.5261877e-01 -8.6470723e-01  4.7090098e-01 -5.1737720e-01
 -2.4236666e-01 -6.9123280e-01 -4.7217253e-01 -4.0345758e-01]"
Lil Peep;2kCcBybjl3SAtIcwdWpUe3;84;"[-0.57400995 -1.3270301  -0.01039334  0.3524159  -0.9861796  -1.1447219
  0.91860396  1.1867061   1.3240693  -2.5322175   0.704526   -0.5891669
 -0.69126165 -0.7422912  -0.9169415  -0.04700239]"
Mac Miller;4LLpKhyESsyAXpc4laK94U;84;"[-2.0991411  -2.1389136   1.1270635  -0.795811   -1.7253647  -4.0052595
 -1.9101099  -0.05223131  1.5749358  -1.5426211   0.41258126 -0.02766753
 -1.1227419   1.5396385  -1.6850413  -1.6724448 ]"
Marshmello;64KEffDW9EtZ1y2vBYgq8T;84;"[ 0.33259487 -1.7725037   2.1610675   1.948236   -1.6070316  -2.0644326
  0.757342    1.0593959  -0.2048065  -1.761052   -1.2608832   1.9595693
  0.9033509   2.4276314  -0.99619293 -1.3395152 ]"
Metallica;2ye2Wgw4gimLv2eAKyk1NB;84;"[ 0.589481    1.7884698  -2.7375832  -0.613626    1.5992917   0.02327111
 -2.4029605   1.040419    0.81343514  0.54907966  4.257262    2.0844448
 -0.64696795  4.7958      2.039338    2.1391869 ]"
NBA Youngboy;5nit4tEonTB3KHl6hWp1OP;84;"[-0.25257015  0.00454772  0.09654974 -0.0561398   0.14710373 -0.37593564
  0.66281813  0.3910259   0.32365575 -0.57226115  0.10197397 -0.25248194
 -0.31168804 -0.2564856  -0.22947243  0.14310825]"
Olivia Rodrigo;1McMsnEElThX1knmY4oliG;84;"[ 0.3152132   0.3455849   0.1468291  -0.02579322  0.11855214  0.13400003
  0.54620814 -0.01332363 -0.02752472  0.11768379 -0.22194396 -0.12543659
  0.31279573 -0.24274707  0.35043436 -0.28845674]"
